"case","code","label","minutes","kind","recoverable","would_action","recoverability_view","comment"
"1","93","late inbound","3","manage_around","false","as_written","disagree",""
"2","34","steps not powering (GSE)","15","recover","true","with_changes","unsure","I would rather team the team leader to get another steps if you call the office and wait for them to do something you might waste more time. "
"3","81","slot","16","manage_around","false","as_written","",""
"4","04","PRM pickup (inbound)","5","recover","true","as_written","agree",""
"5","96","flight schedule change (crew report time; arrived at different a/c)","54","manage_around","false","as_written","agree",""
"6","89","awaiting pushback","1","recover","true","as_written","agree",""
"7","87","airport facilities (stand/gate)","9","manage_around","false","as_written","unsure",""
"8","05","offload bags/pax","2","manage_around","false","as_written","disagree",""
"9","02","air start unit (ASU) for departure","6","manage_around","false","as_written","unsure",""
"10","93","late inbound","4","manage_around","false","as_written","disagree",""
"11","71","pax refused to board (rain)","12","recover","true","as_written","disagree",""
"12","89","awaiting pushback","2","recover","true","as_written","agree",""
"13","36","refuelling","1","recover","true","as_written","agree",""
"14","81","slot","1","manage_around","false","as_written","disagree",""
"15","16","passenger convenience (medical - nut allergy EpiPen)","4","recover","true","as_written","agree",""
"16","65","flight crew briefing","1","manage_around","false","as_written","disagree","I can be done if someone cover at the crossing while you trying to do the rest do the work. "
"17","02","air start unit (ASU)","8","manage_around","false","as_written","agree",""
"18","85","share-code / travel-doc checks","4","recover","true","as_written","agree",""
"19","89","awaiting pushback","3","recover","true","as_written","agree",""
"20","64","flight crew (late/changed captain)","7","manage_around","false","as_written","agree",""
"21","89","awaiting pushback","3","recover","true","as_written","agree",""
"22","65","flight crew (captain late to instruct crew on boarding release)","1","manage_around","false","as_written","unsure",""
"23","89","awaiting pushback","7","recover","true","as_written","agree",""
"24","41","engineering on board","95","safety_hold","false","as_written","agree",""
"25","41","engineering on board","40","safety_hold","false","as_written","agree",""
"26","41","engineering on board","25","safety_hold","false","as_written","unsure",""
"27","87","stand or airport facilities hazard","30","safety_hold","false","as_written","agree",""

"overall_useful","5"
"overall_trust","4"
"overall_clear","5"
"experience","1–3 years"
"notes","Most of things are covered, this will be very helpful at the same time the TCO need to be good at reading this and know what to do. "
